time, temp, ax, ay, az, gx, gy, gz, mx, my, mz,
8.800900e+00, 2.282107e+01, -1.723825e-01, -8.796297e+00, -5.865794e-01,-2.490625e+00, 1.526830e-01, 7.199816e-01,1.500000e-07, 1.650000e-05, 2.655000e-05,
8.904406e+00, 2.286899e+01, 1.192312e+00, -9.148245e+00, -4.376601e+00,-3.360625e+00, 6.928025e-02, -1.159911e+00,-9.000000e-07, 1.260000e-05, 5.280000e-05,
9.007885e+00, 2.301276e+01, -9.911995e-01, -7.235277e+00, -7.120356e+00,-4.588751e+00, -6.459051e-01, -1.710689e-01,1.950000e-06, -7.200000e-06, 7.245000e-05,
9.111380e+00, 2.315653e+01, 2.394202e-03, -4.469974e+00, -1.063504e+01,-1.589982e+00, 5.763584e-01, 2.344870e-02,-4.950000e-06, -2.175000e-05, 7.965000e-05,
9.214903e+00, 2.320445e+01, 2.753332e+00, 1.817199e+00, -1.146583e+01,-4.518671e+00, 4.140827e-01, 2.529262e+00,1.950000e-06, -3.555000e-05, 7.665000e-05,
9.318425e+00, 2.301276e+01, 1.134852e+00, 3.521871e+00, -8.535329e+00,-4.978052e+00, -5.417182e-01, -3.157580e-01,2.400000e-06, -5.805000e-05, 6.795000e-05,
9.421907e+00, 2.315653e+01, -5.746084e-01, 6.478710e+00, -6.241684e+00,-3.192487e+00, 5.310597e-01, 6.117979e-01,1.950000e-06, -6.945000e-05, 5.385000e-05,
9.525357e+00, 2.296484e+01, 2.217031e+00, 8.305486e+00, -6.856994e+00,7.807351e-02, 2.526864e+00, -2.220165e+00,4.800000e-06, -7.245000e-05, 4.035000e-05,
9.628808e+00, 2.320445e+01, 2.025495e+00, 9.569624e+00, -2.214637e+00,-2.510876e+00, 2.847685e+00, 2.531394e-02,1.500000e-06, -7.815000e-05, 2.205000e-05,
9.732247e+00, 2.330030e+01, 2.602497e+00, 1.193510e+01, 1.235408e+00,-1.228925e+00, -1.778904e+00, -1.344037e+00,3.300000e-06, -7.485000e-05, 1.125000e-05,
9.835741e+00, 2.330030e+01, 4.788403e-03, 9.327810e+00, 3.900155e+00,-1.321121e+00, 2.611599e+00, 6.261868e-02,-2.100000e-06, -7.185000e-05, -4.500000e-07,
9.939246e+00, 2.320445e+01, 1.568202e+00, 7.400477e+00, 6.715736e+00,-7.661063e+00, -2.054426e-01, 8.502818e-01,-4.650000e-06, -6.510000e-05, -9.300000e-06,
1.004276e+01, 2.330030e+01, -4.788403e-02, 2.770091e+00, 8.128315e+00,-6.997305e-01, 3.774974e+00, -5.249311e-01,-8.250000e-06, -3.840000e-05, -2.385000e-05,
1.014622e+01, 2.315653e+01, -3.155558e+00, 4.115633e+00, 1.182736e+01,-5.752925e-01, -3.269228e+00, -2.988377e+00,-1.860000e-05, -2.985000e-05, -2.775000e-05,
1.024971e+01, 2.334822e+01, -1.927332e+00, -4.548983e-01, 9.023746e+00,-2.045633e+00, 8.073813e-02, -2.115979e+00,-1.275000e-05, -2.250000e-05, -2.610000e-05,
1.035325e+01, 2.334822e+01, -3.940856e+00, -1.539472e+00, 9.866505e+00,-4.713988e+00, -6.261868e-02, -1.896946e+00,-1.515000e-05, -1.185000e-05, -2.265000e-05,
1.045679e+01, 2.334822e+01, -5.597643e+00, -4.331111e+00, 6.198588e+00,-4.469109e+00, -2.185525e+00, 3.216202e-01,-2.385000e-05, 2.250000e-06, -1.335000e-05,
1.056027e+01, 2.339614e+01, -3.224990e+00, -7.599196e+00, 3.351882e+00,-2.781069e+00, 1.823403e+00, -1.054925e+00,-1.800000e-05, 1.800000e-05, 8.850000e-06,
1.066380e+01, 2.339614e+01, -3.720589e+00, -9.066842e+00, -9.169792e-01,-6.011127e+00, 1.141525e+00, -7.679449e-01,-1.800000e-05, 1.950000e-05, 3.645000e-05,
1.076730e+01, 2.334822e+01, -2.995146e+00, -9.387665e+00, -6.023811e+00,-1.406655e+00, 7.572864e-01, 1.849516e+00,-1.455000e-05, 1.440000e-05, 5.415000e-05,
1.087331e+01, 2.315653e+01, -1.101333e-01, -6.373365e+00, -8.544906e+00,1.249709e-01, 5.337244e-01, 2.749893e-01,-9.000000e-06, 6.600000e-06, 6.435000e-05,
1.097787e+01, 2.349199e+01, -3.576937e+00, -4.589685e+00, -8.588001e+00,-3.453087e+00, -2.652368e+00, -9.038408e-01,-1.770000e-05, -1.500000e-06, 7.335000e-05,
1.108163e+01, 2.339614e+01, -5.080496e+00, -1.434127e+00, -7.862558e+00,-3.031277e+00, -1.130867e+00, 1.777571e+00,-2.520000e-05, -1.755000e-05, 8.040000e-05,
1.118501e+01, 2.349199e+01, -4.055778e+00, 7.637503e-01, -8.887277e+00,-7.351700e-01, 1.107951e+00, 1.774640e-01,-2.565000e-05, -2.865000e-05, 8.340000e-05,
1.128844e+01, 2.349199e+01, -3.612850e+00, 1.501164e+00, -1.021606e+01,2.659296e-01, 8.079143e-01, 2.851149e-01,-2.040000e-05, -3.510000e-05, 8.220000e-05,
1.139186e+01, 2.349199e+01, -3.294421e+00, 2.762909e+00, -9.318233e+00,-1.968625e+00, -1.910536e-01, 2.053893e+00,-2.055000e-05, -4.200000e-05, 8.175000e-05,
1.149534e+01, 2.315653e+01, -2.640804e+00, 2.604891e+00, -7.958326e+00,4.858677e+00, 1.481531e-01, 7.090567e-01,-1.965000e-05, -2.940000e-05, 8.115000e-05,
1.159879e+01, 2.368368e+01, -3.256114e-01, -5.985504e-01, -8.949526e+00,5.021486e+00, -2.100790e+00, 1.981149e+00,-1.770000e-05, -4.500000e-06, 7.485000e-05,
1.170222e+01, 2.382745e+01, -2.559402e+00, -4.987122e+00, -8.109161e+00,2.422943e+00, -3.464012e-03, 5.747596e-01,-1.830000e-05, 8.400000e-06, 6.390000e-05,
